"","rep","site","area","date","ICP","concentration","concentration_undo_dilution"
"388","2","mesic","west",2022-07-19,"K_ug_ml",0.01,0.1
"389","2","mesic","west",2022-07-19,"Mg_ug_ml",0.12,1.2
"390","2","mesic","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"391","2","mesic","west",2022-07-19,"Na_ug_ml",0.005,0.05
"392","2","mesic","west",2022-07-19,"P_ug_ml",0.005,0.05
"393","3","mesic","west",2022-07-19,"Al_ug_ml",0.005,0.05
"394","3","mesic","west",2022-07-19,"Ca_ug_ml",0.82,8.2
"395","3","mesic","west",2022-07-19,"Fe_ug_ml",0.16,1.6
"396","3","mesic","west",2022-07-19,"K_ug_ml",0.02,0.2
"397","3","mesic","west",2022-07-19,"Mg_ug_ml",0.12,1.2
"398","3","mesic","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"399","3","mesic","west",2022-07-19,"Na_ug_ml",0.005,0.05
"400","3","mesic","west",2022-07-19,"P_ug_ml",0.01,0.1
"401","1","hydric","west",2022-07-19,"Al_ug_ml",0.01,0.1
"402","1","hydric","west",2022-07-19,"Ca_ug_ml",3.79,37.9
"403","1","hydric","west",2022-07-19,"Fe_ug_ml",0.27,2.7
"404","1","hydric","west",2022-07-19,"K_ug_ml",0.01,0.1
"405","1","hydric","west",2022-07-19,"Mg_ug_ml",0.54,5.4
"406","1","hydric","west",2022-07-19,"Mn_ug_ml",0.01,0.1
"407","1","hydric","west",2022-07-19,"Na_ug_ml",0.08,0.8
"408","1","hydric","west",2022-07-19,"P_ug_ml",0.005,0.05
"409","2","hydric","west",2022-07-19,"Al_ug_ml",0.005,0.05
"410","2","hydric","west",2022-07-19,"Ca_ug_ml",2.68,26.8
"411","2","hydric","west",2022-07-19,"Fe_ug_ml",0.13,1.3
"412","2","hydric","west",2022-07-19,"K_ug_ml",0.01,0.1
"413","2","hydric","west",2022-07-19,"Mg_ug_ml",0.29,2.9
"414","2","hydric","west",2022-07-19,"Mn_ug_ml",0.01,0.1
"415","2","hydric","west",2022-07-19,"Na_ug_ml",0.06,0.6
"416","2","hydric","west",2022-07-19,"P_ug_ml",0.005,0.05
"417","3","hydric","west",2022-07-19,"Al_ug_ml",0.005,0.05
"418","3","hydric","west",2022-07-19,"Ca_ug_ml",3.86,38.6
"419","3","hydric","west",2022-07-19,"Fe_ug_ml",0.11,1.1
"420","3","hydric","west",2022-07-19,"K_ug_ml",0.01,0.1
"421","3","hydric","west",2022-07-19,"Mg_ug_ml",0.54,5.4
"422","3","hydric","west",2022-07-19,"Mn_ug_ml",0.04,0.4
"423","3","hydric","west",2022-07-19,"Na_ug_ml",0.06,0.6
"424","3","hydric","west",2022-07-19,"P_ug_ml",0.005,0.05
"425","T1","transect","west",2022-07-19,"Al_ug_ml",0.05,0.5
"426","T1","transect","west",2022-07-19,"Ca_ug_ml",0.54,5.4
"427","T1","transect","west",2022-07-19,"Fe_ug_ml",0.06,0.6
"428","T1","transect","west",2022-07-19,"K_ug_ml",0.06,0.6
"429","T1","transect","west",2022-07-19,"Mg_ug_ml",0.07,0.7
"430","T1","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"431","T1","transect","west",2022-07-19,"Na_ug_ml",0.07,0.7
"432","T1","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"433","T2","transect","west",2022-07-19,"Al_ug_ml",0.05,0.5
"434","T2","transect","west",2022-07-19,"Ca_ug_ml",0.52,5.2
"435","T2","transect","west",2022-07-19,"Fe_ug_ml",0.1,1
"436","T2","transect","west",2022-07-19,"K_ug_ml",0.02,0.2
"437","T2","transect","west",2022-07-19,"Mg_ug_ml",0.07,0.7
"438","T2","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"439","T2","transect","west",2022-07-19,"Na_ug_ml",0.07,0.7
"440","T2","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"441","T3","transect","west",2022-07-19,"Al_ug_ml",0.02,0.2
"442","T3","transect","west",2022-07-19,"Ca_ug_ml",0.94,9.4
"443","T3","transect","west",2022-07-19,"Fe_ug_ml",0.05,0.5
"444","T3","transect","west",2022-07-19,"K_ug_ml",0.03,0.3
"445","T3","transect","west",2022-07-19,"Mg_ug_ml",0.11,1.1
"446","T3","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"447","T3","transect","west",2022-07-19,"Na_ug_ml",0.05,0.5
"448","T3","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"449","T4","transect","west",2022-07-19,"Al_ug_ml",0.01,0.1
"450","T4","transect","west",2022-07-19,"Ca_ug_ml",3.09,30.9
"451","T4","transect","west",2022-07-19,"Fe_ug_ml",0.04,0.4
"452","T4","transect","west",2022-07-19,"K_ug_ml",0.02,0.2
"453","T4","transect","west",2022-07-19,"Mg_ug_ml",0.32,3.2
"454","T4","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"455","T4","transect","west",2022-07-19,"Na_ug_ml",0.05,0.5
"456","T4","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"457","T5","transect","west",2022-07-19,"Al_ug_ml",0.01,0.1
"458","T5","transect","west",2022-07-19,"Ca_ug_ml",2.1,21
"459","T5","transect","west",2022-07-19,"Fe_ug_ml",0.01,0.1
"460","T5","transect","west",2022-07-19,"K_ug_ml",0.01,0.1
"461","T5","transect","west",2022-07-19,"Mg_ug_ml",0.3,3
"462","T5","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"463","T5","transect","west",2022-07-19,"Na_ug_ml",0.06,0.6
"464","T5","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"465","T6","transect","west",2022-07-19,"Al_ug_ml",0.005,0.05
"466","T6","transect","west",2022-07-19,"Ca_ug_ml",1.82,18.2
"467","T6","transect","west",2022-07-19,"Fe_ug_ml",0.04,0.4
"468","T6","transect","west",2022-07-19,"K_ug_ml",0.01,0.1
"469","T6","transect","west",2022-07-19,"Mg_ug_ml",0.25,2.5
"470","T6","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"471","T6","transect","west",2022-07-19,"Na_ug_ml",0.06,0.6
"472","T6","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"473","T7","transect","west",2022-07-19,"Al_ug_ml",0.005,0.05
"474","T7","transect","west",2022-07-19,"Ca_ug_ml",1.49,14.9
"475","T7","transect","west",2022-07-19,"Fe_ug_ml",0.01,0.1
"476","T7","transect","west",2022-07-19,"K_ug_ml",0.01,0.1
"477","T7","transect","west",2022-07-19,"Mg_ug_ml",0.22,2.2
"478","T7","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"479","T7","transect","west",2022-07-19,"Na_ug_ml",0.06,0.6
"480","T7","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"481","T8","transect","west",2022-07-19,"Al_ug_ml",0.005,0.05
"482","T8","transect","west",2022-07-19,"Ca_ug_ml",1.29,12.9
"483","T8","transect","west",2022-07-19,"Fe_ug_ml",0.11,1.1
"484","T8","transect","west",2022-07-19,"K_ug_ml",0.04,0.4
"485","T8","transect","west",2022-07-19,"Mg_ug_ml",0.2,2
"486","T8","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"487","T8","transect","west",2022-07-19,"Na_ug_ml",0.06,0.6
"488","T8","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"489","T9","transect","west",2022-07-19,"Al_ug_ml",0.005,0.05
"490","T9","transect","west",2022-07-19,"Ca_ug_ml",1.21,12.1
"491","T9","transect","west",2022-07-19,"Fe_ug_ml",0.09,0.9
"492","T9","transect","west",2022-07-19,"K_ug_ml",0.02,0.2
"493","T9","transect","west",2022-07-19,"Mg_ug_ml",0.19,1.9
"494","T9","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"495","T9","transect","west",2022-07-19,"Na_ug_ml",0.07,0.7
"496","T9","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"497","T10","transect","west",2022-07-19,"Al_ug_ml",0.01,0.1
"498","T10","transect","west",2022-07-19,"Ca_ug_ml",1.11,11.1
"499","T10","transect","west",2022-07-19,"Fe_ug_ml",0.01,0.1
"500","T10","transect","west",2022-07-19,"K_ug_ml",0.01,0.1
"501","T10","transect","west",2022-07-19,"Mg_ug_ml",0.17,1.7
"502","T10","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"503","T10","transect","west",2022-07-19,"Na_ug_ml",0.07,0.7
"504","T10","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"505","T11","transect","west",2022-07-19,"Al_ug_ml",0.01,0.1
"506","T11","transect","west",2022-07-19,"Ca_ug_ml",0.7,7
"507","T11","transect","west",2022-07-19,"Fe_ug_ml",0.02,0.2
"508","T11","transect","west",2022-07-19,"K_ug_ml",0.01,0.1
"509","T11","transect","west",2022-07-19,"Mg_ug_ml",0.1,1
"510","T11","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"511","T11","transect","west",2022-07-19,"Na_ug_ml",0.05,0.5
"512","T11","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"513","T12","transect","west",2022-07-19,"Al_ug_ml",0.005,0.05
"514","T12","transect","west",2022-07-19,"Ca_ug_ml",4.22,42.2
"515","T12","transect","west",2022-07-19,"Fe_ug_ml",0.17,1.7
"516","T12","transect","west",2022-07-19,"K_ug_ml",0.01,0.1
"517","T12","transect","west",2022-07-19,"Mg_ug_ml",0.58,5.8
"518","T12","transect","west",2022-07-19,"Mn_ug_ml",0.02,0.2
"519","T12","transect","west",2022-07-19,"Na_ug_ml",0.05,0.5
"520","T12","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"521","T13","transect","west",2022-07-19,"Al_ug_ml",0.005,0.05
"522","T13","transect","west",2022-07-19,"Ca_ug_ml",3.71,37.1
"523","T13","transect","west",2022-07-19,"Fe_ug_ml",0.1,1
"524","T13","transect","west",2022-07-19,"K_ug_ml",0.005,0.05
"525","T13","transect","west",2022-07-19,"Mg_ug_ml",0.54,5.4
"526","T13","transect","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"527","T13","transect","west",2022-07-19,"Na_ug_ml",0.05,0.5
"528","T13","transect","west",2022-07-19,"P_ug_ml",0.005,0.05
"529","1","dry","west",2022-08-07,"Al_ug_ml",0.005,0.05
"530","1","dry","west",2022-08-07,"Ca_ug_ml",1.9,19
"531","1","dry","west",2022-08-07,"Fe_ug_ml",0.0025,0.025
"532","1","dry","west",2022-08-07,"K_ug_ml",0.01,0.1
"533","1","dry","west",2022-08-07,"Mg_ug_ml",0.26,2.6
"534","1","dry","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"535","1","dry","west",2022-08-07,"Na_ug_ml",0.05,0.5
"536","1","dry","west",2022-08-07,"P_ug_ml",0.005,0.05
"537","2","dry","west",2022-08-07,"Al_ug_ml",0.005,0.05
"538","2","dry","west",2022-08-07,"Ca_ug_ml",1.28,12.8
"539","2","dry","west",2022-08-07,"Fe_ug_ml",0.0025,0.025
"540","2","dry","west",2022-08-07,"K_ug_ml",0.01,0.1
"541","2","dry","west",2022-08-07,"Mg_ug_ml",0.15,1.5
"542","2","dry","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"543","2","dry","west",2022-08-07,"Na_ug_ml",0.03,0.3
"544","2","dry","west",2022-08-07,"P_ug_ml",0.005,0.05
"545","3","dry","west",2022-08-07,"Al_ug_ml",0.005,0.05
"546","3","dry","west",2022-08-07,"Ca_ug_ml",1.23,12.3
"547","3","dry","west",2022-08-07,"Fe_ug_ml",0.0025,0.025
"548","3","dry","west",2022-08-07,"K_ug_ml",0.01,0.1
"549","3","dry","west",2022-08-07,"Mg_ug_ml",0.13,1.3
"550","3","dry","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"551","3","dry","west",2022-08-07,"Na_ug_ml",0.04,0.4
"552","3","dry","west",2022-08-07,"P_ug_ml",0.005,0.05
"553","1","mesic","west",2022-08-07,"Al_ug_ml",0.005,0.05
"554","1","mesic","west",2022-08-07,"Ca_ug_ml",1.37,13.7
"555","1","mesic","west",2022-08-07,"Fe_ug_ml",0.0025,0.025
"556","1","mesic","west",2022-08-07,"K_ug_ml",0.01,0.1
"557","1","mesic","west",2022-08-07,"Mg_ug_ml",0.16,1.6
"558","1","mesic","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"559","1","mesic","west",2022-08-07,"Na_ug_ml",0.03,0.3
"560","1","mesic","west",2022-08-07,"P_ug_ml",0.005,0.05
"561","2","mesic","west",2022-08-07,"Al_ug_ml",0.005,0.05
"562","2","mesic","west",2022-08-07,"Ca_ug_ml",0.93,9.3
"563","2","mesic","west",2022-08-07,"Fe_ug_ml",0.0025,0.025
"564","2","mesic","west",2022-08-07,"K_ug_ml",0.005,0.05
"565","2","mesic","west",2022-08-07,"Mg_ug_ml",0.12,1.2
"566","2","mesic","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"567","2","mesic","west",2022-08-07,"Na_ug_ml",0.02,0.2
"568","2","mesic","west",2022-08-07,"P_ug_ml",0.005,0.05
"569","3","mesic","west",2022-08-07,"Al_ug_ml",0.005,0.05
"570","3","mesic","west",2022-08-07,"Ca_ug_ml",0.98,9.8
"571","3","mesic","west",2022-08-07,"Fe_ug_ml",0.0025,0.025
"572","3","mesic","west",2022-08-07,"K_ug_ml",0.05,0.5
"573","3","mesic","west",2022-08-07,"Mg_ug_ml",0.14,1.4
"574","3","mesic","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"575","3","mesic","west",2022-08-07,"Na_ug_ml",0.02,0.2
"576","3","mesic","west",2022-08-07,"P_ug_ml",0.005,0.05
"577","1","hydric","west",2022-08-07,"Al_ug_ml",0.005,0.05
"578","1","hydric","west",2022-08-07,"Ca_ug_ml",4.78,47.8
"579","1","hydric","west",2022-08-07,"Fe_ug_ml",0.13,1.3
"580","1","hydric","west",2022-08-07,"K_ug_ml",0.01,0.1
"581","1","hydric","west",2022-08-07,"Mg_ug_ml",0.66,6.6
"582","1","hydric","west",2022-08-07,"Mn_ug_ml",0.01,0.1
"583","1","hydric","west",2022-08-07,"Na_ug_ml",0.07,0.7
"584","1","hydric","west",2022-08-07,"P_ug_ml",0.005,0.05
"585","2","hydric","west",2022-08-07,"Al_ug_ml",0.005,0.05
"586","2","hydric","west",2022-08-07,"Ca_ug_ml",3.18,31.8
"587","2","hydric","west",2022-08-07,"Fe_ug_ml",0.01,0.1
"588","2","hydric","west",2022-08-07,"K_ug_ml",0.01,0.1
"589","2","hydric","west",2022-08-07,"Mg_ug_ml",0.36,3.6
"590","2","hydric","west",2022-08-07,"Mn_ug_ml",0.01,0.1
"591","2","hydric","west",2022-08-07,"Na_ug_ml",0.06,0.6
"592","2","hydric","west",2022-08-07,"P_ug_ml",0.005,0.05
"593","3","hydric","west",2022-08-07,"Al_ug_ml",0.005,0.05
"594","3","hydric","west",2022-08-07,"Ca_ug_ml",5.03,50.3
"595","3","hydric","west",2022-08-07,"Fe_ug_ml",0.0025,0.025
"596","3","hydric","west",2022-08-07,"K_ug_ml",0.01,0.1
"597","3","hydric","west",2022-08-07,"Mg_ug_ml",0.73,7.3
"598","3","hydric","west",2022-08-07,"Mn_ug_ml",0.02,0.2
"599","3","hydric","west",2022-08-07,"Na_ug_ml",0.08,0.8
"600","3","hydric","west",2022-08-07,"P_ug_ml",0.005,0.05
"601","T1","transect","west",2022-08-07,"Al_ug_ml",0.05,0.5
"602","T1","transect","west",2022-08-07,"Ca_ug_ml",0.61,6.1
"603","T1","transect","west",2022-08-07,"Fe_ug_ml",0.04,0.4
"604","T1","transect","west",2022-08-07,"K_ug_ml",0.08,0.8
"605","T1","transect","west",2022-08-07,"Mg_ug_ml",0.08,0.8
"606","T1","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"607","T1","transect","west",2022-08-07,"Na_ug_ml",0.08,0.8
"608","T1","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"609","T2","transect","west",2022-08-07,"Al_ug_ml",0.05,0.5
"610","T2","transect","west",2022-08-07,"Ca_ug_ml",0.55,5.5
"611","T2","transect","west",2022-08-07,"Fe_ug_ml",0.19,1.9
"612","T2","transect","west",2022-08-07,"K_ug_ml",0.01,0.1
"613","T2","transect","west",2022-08-07,"Mg_ug_ml",0.06,0.6
"614","T2","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"615","T2","transect","west",2022-08-07,"Na_ug_ml",0.04,0.4
"616","T2","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"617","T3","transect","west",2022-08-07,"Al_ug_ml",0.02,0.2
"618","T3","transect","west",2022-08-07,"Ca_ug_ml",0.96,9.6
"619","T3","transect","west",2022-08-07,"Fe_ug_ml",0.22,2.2
"620","T3","transect","west",2022-08-07,"K_ug_ml",0.03,0.3
"621","T3","transect","west",2022-08-07,"Mg_ug_ml",0.11,1.1
"622","T3","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"623","T3","transect","west",2022-08-07,"Na_ug_ml",0.04,0.4
"624","T3","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"625","T4","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"626","T4","transect","west",2022-08-07,"Ca_ug_ml",3.18,31.8
"627","T4","transect","west",2022-08-07,"Fe_ug_ml",0.25,2.5
"628","T4","transect","west",2022-08-07,"K_ug_ml",0.02,0.2
"629","T4","transect","west",2022-08-07,"Mg_ug_ml",0.33,3.3
"630","T4","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"631","T4","transect","west",2022-08-07,"Na_ug_ml",0.07,0.7
"632","T4","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"633","T5","transect","west",2022-08-07,"Al_ug_ml",0.01,0.1
"634","T5","transect","west",2022-08-07,"Ca_ug_ml",1.76,17.6
"635","T5","transect","west",2022-08-07,"Fe_ug_ml",0.32,3.2
"636","T5","transect","west",2022-08-07,"K_ug_ml",0.02,0.2
"637","T5","transect","west",2022-08-07,"Mg_ug_ml",0.24,2.4
"638","T5","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"639","T5","transect","west",2022-08-07,"Na_ug_ml",0.08,0.8
"640","T5","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"641","T6","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"642","T6","transect","west",2022-08-07,"Ca_ug_ml",2.16,21.6
"643","T6","transect","west",2022-08-07,"Fe_ug_ml",0.28,2.8
"644","T6","transect","west",2022-08-07,"K_ug_ml",0.02,0.2
"645","T6","transect","west",2022-08-07,"Mg_ug_ml",0.31,3.1
"646","T6","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"647","T6","transect","west",2022-08-07,"Na_ug_ml",0.1,1
"648","T6","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"649","T7","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"650","T7","transect","west",2022-08-07,"Ca_ug_ml",2.22,22.2
"651","T7","transect","west",2022-08-07,"Fe_ug_ml",0.25,2.5
"652","T7","transect","west",2022-08-07,"K_ug_ml",0.02,0.2
"653","T7","transect","west",2022-08-07,"Mg_ug_ml",0.33,3.3
"654","T7","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"655","T7","transect","west",2022-08-07,"Na_ug_ml",0.07,0.7
"656","T7","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"657","T8","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"658","T8","transect","west",2022-08-07,"Ca_ug_ml",1.62,16.2
"659","T8","transect","west",2022-08-07,"Fe_ug_ml",0.34,3.4
"660","T8","transect","west",2022-08-07,"K_ug_ml",0.03,0.3
"661","T8","transect","west",2022-08-07,"Mg_ug_ml",0.25,2.5
"662","T8","transect","west",2022-08-07,"Mn_ug_ml",0.01,0.1
"663","T8","transect","west",2022-08-07,"Na_ug_ml",0.09,0.9
"664","T8","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"665","T9","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"666","T9","transect","west",2022-08-07,"Ca_ug_ml",1.4,14
"667","T9","transect","west",2022-08-07,"Fe_ug_ml",0.29,2.9
"668","T9","transect","west",2022-08-07,"K_ug_ml",0.03,0.3
"669","T9","transect","west",2022-08-07,"Mg_ug_ml",0.21,2.1
"670","T9","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"671","T9","transect","west",2022-08-07,"Na_ug_ml",0.07,0.7
"672","T9","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"673","T10","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"674","T10","transect","west",2022-08-07,"Ca_ug_ml",1.36,13.6
"675","T10","transect","west",2022-08-07,"Fe_ug_ml",0.36,3.6
"676","T10","transect","west",2022-08-07,"K_ug_ml",0.01,0.1
"677","T10","transect","west",2022-08-07,"Mg_ug_ml",0.2,2
"678","T10","transect","west",2022-08-07,"Mn_ug_ml",0.01,0.1
"679","T10","transect","west",2022-08-07,"Na_ug_ml",0.07,0.7
"680","T10","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"681","T11","transect","west",2022-08-07,"Al_ug_ml",0.01,0.1
"682","T11","transect","west",2022-08-07,"Ca_ug_ml",0.84,8.4
"683","T11","transect","west",2022-08-07,"Fe_ug_ml",0.27,2.7
"684","T11","transect","west",2022-08-07,"K_ug_ml",0.05,0.5
"685","T11","transect","west",2022-08-07,"Mg_ug_ml",0.12,1.2
"686","T11","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"687","T11","transect","west",2022-08-07,"Na_ug_ml",0.07,0.7
"688","T11","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"689","T12","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"690","T12","transect","west",2022-08-07,"Ca_ug_ml",4.44,44.4
"691","T12","transect","west",2022-08-07,"Fe_ug_ml",0.27,2.7
"692","T12","transect","west",2022-08-07,"K_ug_ml",0.03,0.3
"693","T12","transect","west",2022-08-07,"Mg_ug_ml",0.61,6.1
"694","T12","transect","west",2022-08-07,"Mn_ug_ml",0.02,0.2
"695","T12","transect","west",2022-08-07,"Na_ug_ml",0.08,0.8
"696","T12","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"697","T13","transect","west",2022-08-07,"Al_ug_ml",0.005,0.05
"698","T13","transect","west",2022-08-07,"Ca_ug_ml",5.04,50.4
"699","T13","transect","west",2022-08-07,"Fe_ug_ml",0.25,2.5
"700","T13","transect","west",2022-08-07,"K_ug_ml",0.02,0.2
"701","T13","transect","west",2022-08-07,"Mg_ug_ml",0.75,7.5
"702","T13","transect","west",2022-08-07,"Mn_ug_ml",0.0025,0.025
"703","T13","transect","west",2022-08-07,"Na_ug_ml",0.1,1
"704","T13","transect","west",2022-08-07,"P_ug_ml",0.005,0.05
"705","1","dry","east",2022-08-08,"Al_ug_ml",0.02,0.2
"706","1","dry","east",2022-08-08,"Ca_ug_ml",1.35,13.5
"707","1","dry","east",2022-08-08,"Fe_ug_ml",0.32,3.2
"708","1","dry","east",2022-08-08,"K_ug_ml",0.01,0.1
"709","1","dry","east",2022-08-08,"Mg_ug_ml",0.16,1.6
"710","1","dry","east",2022-08-08,"Mn_ug_ml",0.0025,0.025
"711","1","dry","east",2022-08-08,"Na_ug_ml",0.09,0.9
"712","1","dry","east",2022-08-08,"P_ug_ml",0.005,0.05
"713","2","dry","east",2022-08-08,"Al_ug_ml",0.05,0.5
"714","2","dry","east",2022-08-08,"Ca_ug_ml",0.55,5.5
"715","2","dry","east",2022-08-08,"Fe_ug_ml",0.28,2.8
"716","2","dry","east",2022-08-08,"K_ug_ml",0.02,0.2
"717","2","dry","east",2022-08-08,"Mg_ug_ml",0.07,0.7
"718","2","dry","east",2022-08-08,"Mn_ug_ml",0.01,0.1
"719","2","dry","east",2022-08-08,"Na_ug_ml",0.05,0.5
"720","2","dry","east",2022-08-08,"P_ug_ml",0.005,0.05
"721","3","dry","east",2022-08-08,"Al_ug_ml",0.06,0.6
"722","3","dry","east",2022-08-08,"Ca_ug_ml",0.56,5.6
"723","3","dry","east",2022-08-08,"Fe_ug_ml",0.33,3.3
"724","3","dry","east",2022-08-08,"K_ug_ml",0.05,0.5
"725","3","dry","east",2022-08-08,"Mg_ug_ml",0.11,1.1
"726","3","dry","east",2022-08-08,"Mn_ug_ml",0.03,0.3
"727","3","dry","east",2022-08-08,"Na_ug_ml",0.1,1
"728","3","dry","east",2022-08-08,"P_ug_ml",0.005,0.05
"729","1","mesic","east",2022-08-08,"Al_ug_ml",0.04,0.4
"730","1","mesic","east",2022-08-08,"Ca_ug_ml",0.32,3.2
"731","1","mesic","east",2022-08-08,"Fe_ug_ml",0.44,4.4
"732","1","mesic","east",2022-08-08,"K_ug_ml",0.03,0.3
"733","1","mesic","east",2022-08-08,"Mg_ug_ml",0.08,0.8
"734","1","mesic","east",2022-08-08,"Mn_ug_ml",0.01,0.1
"735","1","mesic","east",2022-08-08,"Na_ug_ml",0.11,1.1
"736","1","mesic","east",2022-08-08,"P_ug_ml",0.005,0.05
"737","2","mesic","east",2022-08-08,"Al_ug_ml",0.04,0.4
"738","2","mesic","east",2022-08-08,"Ca_ug_ml",0.36,3.6
"739","2","mesic","east",2022-08-08,"Fe_ug_ml",0.28,2.8
"740","2","mesic","east",2022-08-08,"K_ug_ml",0.06,0.6
"741","2","mesic","east",2022-08-08,"Mg_ug_ml",0.09,0.9
"742","2","mesic","east",2022-08-08,"Mn_ug_ml",0.01,0.1
"743","2","mesic","east",2022-08-08,"Na_ug_ml",0.08,0.8
"744","2","mesic","east",2022-08-08,"P_ug_ml",0.005,0.05
"745","3","mesic","east",2022-08-08,"Al_ug_ml",0.03,0.3
"746","3","mesic","east",2022-08-08,"Ca_ug_ml",0.33,3.3
"747","3","mesic","east",2022-08-08,"Fe_ug_ml",0.76,7.6
"748","3","mesic","east",2022-08-08,"K_ug_ml",0.16,1.6
"749","3","mesic","east",2022-08-08,"Mg_ug_ml",0.08,0.8
"750","3","mesic","east",2022-08-08,"Mn_ug_ml",0.02,0.2
"751","3","mesic","east",2022-08-08,"Na_ug_ml",0.07,0.7
"752","3","mesic","east",2022-08-08,"P_ug_ml",0.005,0.05
"753","1","hydric","east",2022-08-08,"Al_ug_ml",0.03,0.3
"754","1","hydric","east",2022-08-08,"Ca_ug_ml",0.28,2.8
"755","1","hydric","east",2022-08-08,"Fe_ug_ml",0.89,8.9
"756","1","hydric","east",2022-08-08,"K_ug_ml",0.01,0.1
"757","1","hydric","east",2022-08-08,"Mg_ug_ml",0.06,0.6
"758","1","hydric","east",2022-08-08,"Mn_ug_ml",0.01,0.1
"759","1","hydric","east",2022-08-08,"Na_ug_ml",0.06,0.6
"760","1","hydric","east",2022-08-08,"P_ug_ml",0.005,0.05
"761","2","hydric","east",2022-08-08,"Al_ug_ml",0.06,0.6
"762","2","hydric","east",2022-08-08,"Ca_ug_ml",0.96,9.6
"763","2","hydric","east",2022-08-08,"Fe_ug_ml",1.68,16.8
"764","2","hydric","east",2022-08-08,"K_ug_ml",0.03,0.3
"765","2","hydric","east",2022-08-08,"Mg_ug_ml",0.16,1.6
"766","2","hydric","east",2022-08-08,"Mn_ug_ml",0.27,2.7
"767","2","hydric","east",2022-08-08,"Na_ug_ml",0.07,0.7
"768","2","hydric","east",2022-08-08,"P_ug_ml",0.005,0.05
"769","3","hydric","east",2022-08-08,"Al_ug_ml",0.05,0.5
"770","3","hydric","east",2022-08-08,"Ca_ug_ml",1.21,12.1
"771","3","hydric","east",2022-08-08,"Fe_ug_ml",1.28,12.8
"772","3","hydric","east",2022-08-08,"K_ug_ml",0.13,1.3
"773","3","hydric","east",2022-08-08,"Mg_ug_ml",0.25,2.5
